LA_Code,LA_Name,Household deprivation (6 categories) Code,Household deprivation (6 categories),Total_Deprived,Num_Households,%_deprived
E06000008,Blackburn with Darwen,4,Household is deprived in three dimensions,3692,58767,0.062824374
E06000009,Blackpool,4,Household is deprived in three dimensions,4183,64789,0.064563429
E07000117,Burnley,4,Household is deprived in three dimensions,2440,39872,0.061195827
E07000118,Chorley,4,Household is deprived in three dimensions,1406,50132,0.028045959
E07000119,Fylde,4,Household is deprived in three dimensions,1030,37604,0.027390703
E07000120,Hyndburn,4,Household is deprived in three dimensions,1985,34790,0.057056625
E07000121,Lancaster,4,Household is deprived in three dimensions,2132,59979,0.035545774
E07000122,Pendle,4,Household is deprived in three dimensions,1999,38066,0.052514055
E07000124,Ribble Valley,4,Household is deprived in three dimensions,436,26747,0.016300894
E07000125,Rossendale,4,Household is deprived in three dimensions,1270,30561,0.041556232
E07000126,South Ribble,4,Household is deprived in three dimensions,1158,48588,0.023833045
E07000127,West Lancashire,4,Household is deprived in three dimensions,1567,48533,0.03228731
E07000128,Wyre,4,Household is deprived in three dimensions,1813,50767,0.035712175