LSOA_Code,LSOA Name,Health and Disability Decile,Barriers to Housing & Services Decile,IDAOPI Decile
E01025155,Lancaster 020G E01025155,5,10,8
E01025165,Lancaster 020E E01025165,7,7,7
E01025125,Lancaster 015A E01025125,5,9,7
E01025147,Lancaster 015D E01025147,7,10,7
E01025129,Lancaster 015C E01025129,3,9,4
E01025128,Lancaster 015B E01025128,3,10,3
E01025095,Lancaster 013C E01025095,5,4,7
E01025092,Lancaster 013B E01025092,1,4,2
E01025131,Lancaster 005C E01025131,5,4,8
E01025105,Lancaster 019A E01025105,8,3,10
E01025107,Lancaster 019C E01025107,5,3,9
E01025127,Lancaster 018A E01025127,6,9,8
E01025145,Lancaster 018D E01025145,5,10,6
E01025141,Lancaster 018B E01025141,5,10,7
E01025142,Lancaster 019D E01025142,5,4,10
E01025144,Lancaster 017E E01025144,4,7,4
E01025143,Lancaster 018C E01025143,2,3,4
E01025146,Lancaster 017F E01025146,9,5,10
E01025103,Lancaster 017D E01025103,7,4,10
E01025100,Lancaster 017A E01025100,2,9,5
E01025172,Lancaster 010C E01025172,2,6,4
E01025106,Lancaster 019B E01025106,4,7,5
E01025609,Wyre 006C E01025609,7,2,9
E01025158,Lancaster 003C E01025158,5,9,9
E01025108,Lancaster 005A E01025108,4,10,8
E01025160,Lancaster 003E E01025160,7,5,10
E01025109,Lancaster 005B E01025109,6,4,9
E01025130,Lancaster 002A E01025130,6,2,9
E01025132,Lancaster 002B E01025132,6,2,10
E01025166,Lancaster 002C E01025166,6,4,8
E01025167,Lancaster 002D E01025167,6,1,9
E01025133,Lancaster 005D E01025133,6,10,8
E01025113,Lancaster 008B E01025113,3,10,4
E01025118,Lancaster 008C E01025118,1,10,4
E01025110,Lancaster 009A E01025110,1,8,1
E01025117,Lancaster 009C E01025117,1,8,1
E01025120,Lancaster 009D E01025120,1,10,2
E01025116,Lancaster 009B E01025116,1,8,4
E01025119,Lancaster 008D E01025119,4,10,6
E01025115,Lancaster 016B E01025115,1,9,1
E01025114,Lancaster 016A E01025114,4,10,5
E01025139,Lancaster 006D E01025139,1,8,2
E01025123,Lancaster 016E E01025123,4,9,7
E01025121,Lancaster 016C E01025121,4,9,5
E01025122,Lancaster 016D E01025122,4,10,7
E01025124,Lancaster 016F E01025124,2,10,3
E01033072,Lancaster 016I E01033072,2,3,5
E01025164,Lancaster 020D E01025164,3,9,6
E01025171,Lancaster 010B E01025171,1,4,2
E01025173,Lancaster 010D E01025173,1,8,2
E01025112,Lancaster 006A E01025112,1,8,1
E01025111,Lancaster 008A E01025111,2,8,4
E01025136,Lancaster 006B E01025136,1,8,1
E01025170,Lancaster 010A E01025170,3,6,4
E01025138,Lancaster 006C E01025138,2,10,3
E01025137,Lancaster 020A E01025137,2,10,4
E01025140,Lancaster 006E E01025140,1,9,3
E01025087,Lancaster 004C E01025087,2,10,3
E01025085,Lancaster 004A E01025085,2,9,6
E01025162,Lancaster 020B E01025162,3,9,6
E01025086,Lancaster 004B E01025086,5,8,7
E01025161,Lancaster 004D E01025161,3,9,7
E01025163,Lancaster 020C E01025163,5,9,8
E01025148,Lancaster 001E E01025148,8,5,10
E01019341,South Lakeland 011A E01019341,9,3,10
E01025096,Lancaster 001B E01025096,4,10,7
E01025089,Lancaster 003A E01025089,4,10,6
E01025090,Lancaster 003B E01025090,6,7,8
E01025097,Lancaster 001C E01025097,2,9,2
E01025098,Lancaster 001D E01025098,2,10,6
E01025168,Lancaster 001F E01025168,4,6,6
E01025088,Lancaster 001A E01025088,5,4,9
E01025169,Lancaster 001G E01025169,5,5,8
E01025375,Rossendale 009C E01025375,6,8,9
E01025376,Rossendale 009D E01025376,4,9,2
E01025360,Rossendale 009B E01025360,3,7,3
E01025359,Rossendale 009A E01025359,5,3,7
E01025369,Rossendale 003C E01025369,1,9,3
E01025370,Rossendale 010F E01025370,3,6,6
E01025388,Rossendale 010G E01025388,2,9,4
E01025383,Rossendale 003F E01025383,6,7,5
E01025389,Rossendale 010H E01025389,1,6,3
E01025390,Rossendale 010I E01025390,2,8,3
E01025368,Rossendale 003B E01025368,3,8,5
E01025367,Rossendale 003A E01025367,6,2,6
E01025382,Rossendale 003E E01025382,1,7,2
E01025381,Rossendale 003D E01025381,2,8,3
E01025247,Preston 016A E01025247,3,8,1
E01025466,South Ribble 001D E01025466,8,10,9
E01025426,South Ribble 001C E01025426,7,10,10
E01025425,South Ribble 001B E01025425,4,10,9
E01025409,South Ribble 003B E01025409,4,10,8
E01025290,Preston 017B E01025290,1,7,1
E01025424,South Ribble 001A E01025424,7,9,10
E01025467,South Ribble 003D E01025467,7,10,9
E01025410,South Ribble 003C E01025410,8,8,9
E01025408,South Ribble 003A E01025408,7,10,9
E01025305,Preston 016F E01025305,2,9,1
E01025303,Preston 004E E01025303,5,6,8
E01033223,Preston 017F E01033223,1,7,1
E01025293,Preston 015C E01025293,1,7,1
E01025292,Preston 015B E01025292,1,8,1
E01033224,Preston 017G E01033224,1,8,1
E01025314,Preston 012G E01025314,2,6,4
E01025275,Preston 011C E01025275,1,9,2
E01025274,Preston 011B E01025274,1,9,3
E01025276,Preston 012A E01025276,5,10,3
E01025294,Preston 011D E01025294,4,9,1
E01025244,Preston 015A E01025244,3,9,1
E01025306,Preston 017D E01025306,2,8,2
E01025289,Preston 017A E01025289,2,8,2
E01025313,Preston 012F E01025313,1,9,1
E01033226,Preston 017H E01033226,1,8,1
E01025295,Preston 014A E01025295,1,7,1
E01025304,Preston 016E E01025304,4,8,3
E01025250,Preston 016D E01025250,1,8,1
E01025248,Preston 016B E01025248,1,9,1
E01025296,Preston 014B E01025296,1,7,1
E01025249,Preston 016C E01025249,2,10,4
E01025245,Preston 007E E01025245,2,9,1
E01025297,Preston 014C E01025297,2,9,1
E01025286,Preston 009E E01025286,1,7,1
E01025298,Preston 014D E01025298,2,9,1
E01025284,Preston 009C E01025284,2,10,4
E01025235,Preston 007B E01025235,4,4,6
E01025246,Preston 011A E01025246,4,10,1
E01025310,Preston 012C E01025310,2,10,5
E01025312,Preston 012E E01025312,3,10,4
E01025308,Preston 012B E01025308,3,10,4
E01025291,Preston 017C E01025291,2,8,3
E01025288,Preston 010D E01025288,2,5,5
E01025427,South Ribble 006B E01025427,3,9,4
E01025411,South Ribble 005A E01025411,6,8,8
E01025462,South Ribble 009E E01025462,6,8,7
E01025428,South Ribble 006C E01025428,5,10,5
E01025449,South Ribble 005C E01025449,7,9,5
E01025412,South Ribble 006A E01025412,3,9,4
E01025429,South Ribble 006D E01025429,2,10,2
E01025450,South Ribble 005D E01025450,2,10,2
E01025448,South Ribble 005B E01025448,3,10,7
E01025464,South Ribble 004D E01025464,8,3,8
E01025231,Preston 013A E01025231,3,10,6
E01025233,Preston 008A E01025233,6,10,8
E01025232,Preston 013B E01025232,2,10,3
E01025269,Preston 013F E01025269,2,9,3
E01025268,Preston 013E E01025268,1,9,3
E01025266,Preston 008D E01025266,5,10,8
E01025267,Preston 013D E01025267,1,10,4
E01025271,Preston 013G E01025271,2,9,5
E01025270,Preston 010A E01025270,4,8,6
E01025265,Preston 013C E01025265,2,6,5
E01025272,Preston 010B E01025272,4,4,8
E01025311,Preston 012D E01025311,2,10,4
E01025309,Preston 008E E01025309,3,10,6
E01025239,Preston 006A E01025239,3,10,4
E01025259,Preston 003C E01025259,7,10,9
E01025260,Preston 005A E01025260,1,8,1
E01025240,Preston 008B E01025240,6,10,7
E01025257,Preston 002A E01025257,7,5,10
E01025258,Preston 003B E01025258,6,10,9
E01025262,Preston 005B E01025262,3,8,3
E01025261,Preston 008C E01025261,2,10,7
E01025256,Preston 003A E01025256,6,10,6
E01025241,Preston 006B E01025241,6,9,8
E01025447,South Ribble 017B E01025447,1,6,1
E01025445,South Ribble 017A E01025445,1,8,3
E01025415,South Ribble 015A E01025415,4,9,6
E01025459,South Ribble 017C E01025459,4,10,6
E01025446,South Ribble 015D E01025446,5,9,6
E01025460,South Ribble 017D E01025460,2,8,4
E01025435,South Ribble 015C E01025435,5,10,6
E01025421,South Ribble 013A E01025421,5,9,5
E01025422,South Ribble 013B E01025422,3,10,4
E01025423,South Ribble 015B E01025423,1,9,1
E01025451,South Ribble 014B E01025451,7,5,9
E01025452,South Ribble 014C E01025452,3,6,5
E01025416,South Ribble 014A E01025416,5,8,6
E01025430,South Ribble 016A E01025430,6,10,8
E01025431,South Ribble 013C E01025431,4,10,6
E01025434,South Ribble 016C E01025434,8,5,10
E01025417,South Ribble 012A E01025417,6,9,7
E01025418,South Ribble 012B E01025418,5,10,9
E01025420,South Ribble 012D E01025420,6,4,7
E01032929,South Ribble 016E E01032929,5,6,5
E01025433,South Ribble 013D E01025433,4,9,6
E01024957,Chorley 003E E01024957,4,5,6
E01032928,South Ribble 016D E01032928,7,5,5
E01024956,Chorley 003D E01024956,6,4,8
E01024958,Chorley 003F E01024958,3,10,5
E01025278,Preston 001A E01025278,7,6,10
E01025234,Preston 007A E01025234,2,9,3
E01025255,Preston 004C E01025255,6,8,8
E01025279,Preston 001B E01025279,6,1,9
E01025277,Preston 002B E01025277,6,7,9
E01025419,South Ribble 012C E01025419,4,8,6
E01024975,Chorley 007C E01024975,1,1,8
E01024976,Chorley 007D E01024976,7,10,6
E01025436,South Ribble 011A E01025436,8,4,8
E01025236,Preston 009A E01025236,1,10,2
E01025237,Preston 007C E01025237,2,9,3
E01025285,Preston 009D E01025285,3,9,2
E01025287,Preston 009F E01025287,1,9,2
E01025283,Preston 009B E01025283,1,6,1
E01025252,Preston 007F E01025252,2,5,3
E01025238,Preston 007D E01025238,1,6,1
E01025264,Preston 005D E01025264,2,5,4
E01025263,Preston 005C E01025263,1,8,4
E01025243,Preston 006D E01025243,3,8,4
E01025251,Preston 006E E01025251,4,9,5
E01025254,Preston 004B E01025254,2,7,6
E01025300,Preston 004D E01025300,1,6,4
E01025242,Preston 006C E01025242,5,8,7
E01025253,Preston 004A E01025253,8,3,9
E01025301,Preston 003E E01025301,3,4,6
E01025302,Preston 003F E01025302,3,10,9
E01025299,Preston 003D E01025299,5,10,9
E01025547,Wyre 006A E01025547,7,3,9
E01025562,Wyre 009B E01025562,6,2,8
E01025559,Wyre 007D E01025559,5,9,5
E01025553,Wyre 007B E01025553,8,2,8
E01025561,Wyre 009A E01025561,5,2,8
E01025585,Wyre 009C E01025585,6,2,8
E01025548,Wyre 007A E01025548,3,5,5
E01025281,Preston 002D E01025281,5,3,9
E01025549,Wyre 006B E01025549,7,2,8
E01025560,Wyre 007E E01025560,4,10,8
E01025558,Wyre 007C E01025558,6,8,8
E01025317,Ribble Valley 006B E01025317,5,9,8
E01025325,Ribble Valley 006C E01025325,4,10,5
E01025282,Preston 001C E01025282,1,7,8
E01025326,Ribble Valley 004B E01025326,6,7,8
E01025327,Ribble Valley 004C E01025327,8,8,10
E01025342,Ribble Valley 004D E01025342,9,5,9
E01025328,Ribble Valley 006D E01025328,6,10,9
E01025316,Ribble Valley 006A E01025316,7,6,9
E01025280,Preston 002C E01025280,7,2,7
E01025273,Preston 010C E01025273,6,4,10
E01025014,Fylde 003C E01025014,6,2,8
E01024997,Fylde 007A E01024997,7,10,9
E01025000,Fylde 007C E01025000,4,10,7
E01025030,Fylde 007E E01025030,3,10,5
E01024999,Fylde 007B E01024999,4,10,5
E01024998,Fylde 003A E01024998,4,2,7
E01025010,Fylde 003B E01025010,4,8,8
E01025011,Fylde 002D E01025011,2,10,2
E01025009,Fylde 002C E01025009,4,10,5
E01025007,Fylde 002A E01025007,7,5,10
E01025019,Fylde 002G E01025019,8,10,10
E01025008,Fylde 002B E01025008,7,9,10
E01025013,Fylde 002F E01025013,4,10,4
E01025012,Fylde 002E E01025012,5,10,6
E01025015,Fylde 003D E01025015,6,10,10
E01025454,South Ribble 010C E01025454,8,10,8
E01025453,South Ribble 010B E01025453,6,4,10
E01025455,South Ribble 010D E01025455,6,9,9
E01025440,South Ribble 011D E01025440,7,8,9
E01025437,South Ribble 011B E01025437,7,10,7
E01025439,South Ribble 010A E01025439,7,9,9
E01025441,South Ribble 011E E01025441,7,10,8
E01025438,South Ribble 011C E01025438,8,7,9
E01025498,West Lancashire 001C E01025498,6,8,6
E01025496,West Lancashire 001A E01025496,6,3,5
E01025530,West Lancashire 001D E01025530,8,9,9
E01025532,West Lancashire 001E E01025532,8,10,8
E01025533,West Lancashire 001F E01025533,7,10,5
E01025497,West Lancashire 001B E01025497,7,6,7
E01025531,West Lancashire 002E E01025531,6,2,6
E01025413,South Ribble 002A E01025413,6,9,7
E01025414,South Ribble 002B E01025414,6,8,9
E01025458,South Ribble 002D E01025458,3,9,6
E01025399,South Ribble 008A E01025399,3,10,4
E01025457,South Ribble 004B E01025457,6,10,7
E01025463,South Ribble 004C E01025463,4,6,7
E01025461,South Ribble 009D E01025461,8,6,9
E01025403,South Ribble 004A E01025403,7,6,9
E01025465,South Ribble 004E E01025465,5,10,6
E01025402,South Ribble 008D E01025402,3,10,5
E01025404,South Ribble 007A E01025404,5,10,9
E01025406,South Ribble 007C E01025406,5,9,7
E01025444,South Ribble 009C E01025444,3,10,7
E01025443,South Ribble 009B E01025443,5,6,8
E01025442,South Ribble 009A E01025442,2,8,3
E01025400,South Ribble 008B E01025400,4,4,7
E01025401,South Ribble 008C E01025401,4,10,8
E01024953,Chorley 001C E01024953,1,7,2
E01024951,Chorley 001A E01024951,1,9,2
E01024952,Chorley 001B E01024952,1,10,3
E01025405,South Ribble 007B E01025405,2,10,4
E01025407,South Ribble 007D E01025407,3,10,3
E01024954,Chorley 001D E01024954,5,10,6
E01024925,Chorley 009A E01024925,1,10,2
E01024928,Chorley 009D E01024928,3,10,4
E01024931,Chorley 006C E01024931,2,10,4
E01024926,Chorley 009B E01024926,2,9,2
E01024930,Chorley 006B E01024930,4,10,5
E01024929,Chorley 006A E01024929,1,10,2
E01024927,Chorley 009C E01024927,5,10,6
E01024933,Chorley 006E E01024933,2,7,6
E01024936,Chorley 010A E01024936,4,10,5
E01024937,Chorley 006F E01024937,7,10,8
E01024948,Chorley 004A E01024948,5,6,7
E01024955,Chorley 003C E01024955,6,7,8
E01024977,Chorley 004D E01024977,9,4,8
E01024950,Chorley 004C E01024950,8,9,10
E01024949,Chorley 004B E01024949,5,8,4
E01024946,Chorley 003A E01024946,6,5,8
E01024932,Chorley 006D E01024932,4,3,8
E01024947,Chorley 003B E01024947,7,3,9
E01024979,Chorley 002C E01024979,7,4,8
E01024978,Chorley 002B E01024978,4,9,7
E01024980,Chorley 002D E01024980,7,10,8
E01024915,Chorley 014A E01024915,4,10,5
E01024916,Chorley 014B E01024916,6,10,8
E01024917,Chorley 014C E01024917,4,10,5
E01024940,Chorley 010D E01024940,1,10,2
E01024920,Chorley 008B E01024920,6,9,8
E01024919,Chorley 008A E01024919,3,6,4
E01024934,Chorley 008C E01024934,5,10,8
E01024935,Chorley 008D E01024935,5,10,9
E01024923,Chorley 011A E01024923,7,5,9
E01024945,Chorley 012D E01024945,4,4,4
E01024943,Chorley 012B E01024943,3,4,3
E01024942,Chorley 012A E01024942,1,10,2
E01024939,Chorley 010C E01024939,7,4,9
E01024938,Chorley 010B E01024938,6,10,8
E01024924,Chorley 011B E01024924,6,3,7
E01024941,Chorley 010E E01024941,2,10,2
E01024944,Chorley 012C E01024944,6,2,6
E01024961,Chorley 013D E01024961,4,9,6
E01024962,Chorley 013E E01024962,6,9,8
E01024959,Chorley 013B E01024959,2,8,3
E01024960,Chorley 013C E01024960,4,10,3
E01024963,Chorley 011C E01024963,7,10,8
E01024922,Chorley 013A E01024922,6,10,8
E01024966,Chorley 011E E01024966,9,10,9
E01024968,Chorley 005B E01024968,9,8,9
E01024969,Chorley 005C E01024969,2,10,5
E01024967,Chorley 005A E01024967,5,10,10
E01024970,Chorley 005D E01024970,6,10,8
E01024972,Chorley 005F E01024972,4,10,8
E01024971,Chorley 005E E01024971,4,5,7
E01007001,Sefton 008E E01007001,3,10,3
E01025507,West Lancashire 002A E01025507,6,7,7
E01025509,West Lancashire 002C E01025509,5,9,4
E01025508,West Lancashire 002B E01025508,4,7,5
E01025537,West Lancashire 015D E01025537,7,8,7
E01025534,West Lancashire 015A E01025534,9,9,7
E01025539,West Lancashire 005E E01025539,6,5,6
E01025510,West Lancashire 005A E01025510,8,9,10
E01025538,West Lancashire 005D E01025538,9,4,8
E01025535,West Lancashire 015B E01025535,7,2,5
E01025536,West Lancashire 015C E01025536,3,4,3
E01025540,West Lancashire 015E E01025540,6,7,9
E01025521,West Lancashire 010F E01025521,3,2,2
E01025505,West Lancashire 014E E01025505,3,10,3
E01025528,West Lancashire 013C E01025528,2,3,2
E01025529,West Lancashire 013D E01025529,4,2,2
E01025527,West Lancashire 013B E01025527,2,3,2
E01025481,West Lancashire 010C E01025481,2,3,2
E01025469,West Lancashire 009B E01025469,3,8,1
E01025470,West Lancashire 009C E01025470,7,9,7
E01025492,West Lancashire 013A E01025492,5,5,4
E01025482,West Lancashire 010D E01025482,2,6,1
E01025522,West Lancashire 009D E01025522,4,6,4
E01025480,West Lancashire 010B E01025480,3,5,2
E01025471,West Lancashire 010A E01025471,3,6,2
E01025512,West Lancashire 005C E01025512,7,10,5
E01025524,West Lancashire 011B E01025524,2,6,2
E01025523,West Lancashire 011A E01025523,4,5,5
E01025526,West Lancashire 011D E01025526,3,10,2
E01025525,West Lancashire 011C E01025525,6,6,5
E01025520,West Lancashire 010E E01025520,2,7,2
E01025493,West Lancashire 014A E01025493,1,5,1
E01025494,West Lancashire 014B E01025494,2,4,1
E01025504,West Lancashire 014D E01025504,2,6,1
E01025503,West Lancashire 014C E01025503,3,8,1