LA_Name,Total_Above_65,LA_Code,Total_Population,%_Above_65
Blackburn with Darwen,22400,E06000008,154735,0.144763628
Blackpool,29191,E06000009,141033,0.206979927
Burnley,16900,E07000117,94649,0.178554449
Chorley,24118,E07000118,117731,0.204856835
Fylde,22646,E07000119,81380,0.27827476
Hyndburn,15006,E07000120,82236,0.182474829
Lancaster,29348,E07000121,142932,0.205328408
Pendle,17243,E07000122,95753,0.180077909
Ribble Valley,14852,E07000124,61558,0.241268397
Rossendale,13661,E07000125,70876,0.192745076
South Ribble,24032,E07000126,111042,0.216422615
West Lancashire,25720,E07000127,117427,0.219029695
Wyre,31002,E07000128,111949,0.276929673